Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism
WP_005123276.1	NG_064680.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_004840559.1	NG_064681.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_005131186.1	NG_064682.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_005046018.1	NG_064683.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_004643536.1	NG_064684.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_005039111.1	NG_064685.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
CAK95248.2	AM283528.2	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
WP_004886093.1	NG_064686.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_004707701.1	NG_064687.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_005068074.1	NG_064688.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_004700205.1	NG_064689.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_005307218.1	NG_064690.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_004790939.1	NG_064691.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_016137488.1	NG_064692.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_016140427.1	NG_064693.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_016146025.1	NG_064694.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_032039838.1	NG_064695.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
CAK95247.1	AM283527.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
WP_001211209.1	NG_064696.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_032062810.1	NG_064697.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_033502167.1	NG_064698.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_001211214.1	NG_064699.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_039270258.1	NG_064700.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_039258389.1	NG_064701.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_044718369.1	NG_064702.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_039246976.1	NG_064703.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_014207272.1	NG_064704.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
CAK95246.1	AM283526.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
WP_017386568.1	NG_064705.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_063099318.1	NG_064706.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_001211233.1	NG_054691.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_099156045.1	NG_055657.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_005138362.1	NG_054996.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_005128228.1	NG_055285.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_024436624.1	NG_055286.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_088245227.1	NG_055287.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_001211227.1	NG_055786.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
ATP60652.1	MG229642.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
CAK95245.1	AM283525.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
WP_032037870.1	NG_055788.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_031980335.1	NG_056060.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_057093064.1	NG_056105.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_032068214.1	NG_056106.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_001211239.1	NG_056107.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_101244937.1	NG_056108.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_002046804.1	NG_056109.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_101244938.1	NG_056110.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_001211212.1	NG_056172.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
CAK95244.1	AM283524.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
WP_102607458.1	NG_056175.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_031961878.1	NG_056163.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_032027415.1	NG_056162.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_032071188.1	NG_056164.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_114699268.1	NG_061390.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_001211208.1	NG_061391.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_001159761.1	NG_061392.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_114699269.1	NG_061393.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_114699270.1	NG_061394.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_114699271.1	NG_061395.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
CAK95243.1	AM283523.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
WP_114699272.1	NG_061396.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
AZK35803.1	MK248721.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
AZK35804.1	MK248722.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
AZK35805.1	MK248723.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
WP_059247009.1	NG_064707.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_001211210.1	NG_064708.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_072292271.1	NG_064709.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_136512056.1	NG_064710.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_136512057.1	NG_064711.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_136512058.1	NG_064712.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
CAK95242.1	AM283522.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
WP_136512059.1	NG_064713.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_003112187.1	NG_064714.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_136512060.1	NG_064715.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_013197184.1	NG_064716.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_133972424.1	NG_066693.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_140423305.1	NG_065420.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_145850033.1	NG_065858.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_150823452.1	NG_066477.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_150823453.1	NG_066478.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_114166683.1	NG_066479.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
AAO43172.1	AY177427.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
CAK95241.1	AM283521.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
WP_150823454.1	NG_066480.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_150823455.1	NG_066481.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_150823456.1	NG_066482.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_032000414.1	NG_066483.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_150823457.1	NG_066484.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_150823458.1	NG_066485.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_150823459.1	NG_066486.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_130173437.1	NG_066487.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_150823460.1	NG_066488.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_150823461.1	NG_066489.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
CAK95240.1	AM283520.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
WP_150823462.1	NG_066490.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_150823463.1	NG_066491.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_031975357.1	NG_066492.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_078230092.1	NG_066493.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_060454527.1	NG_066494.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_039098799.1	NG_066495.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_039211240.1	NG_066496.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_060470109.1	NG_066497.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_078216190.1	NG_066498.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_039213353.1	NG_066499.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
CAK95239.1	AM283519.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
WP_087876534.1	NG_066500.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_156404644.1	NG_067133.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_031960999.1	NG_067193.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_064987478.1	NG_067194.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_064907831.1	NG_067195.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_160164833.1	NG_067196.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_001211224.1	NG_067197.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_160164834.1	NG_067198.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_160164835.1	NG_067199.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_160164836.1	NG_067200.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
CAK95238.1	AM283518.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
WP_160164837.1	NG_067201.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_160164838.1	NG_067202.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_064907116.1	NG_067203.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_031950434.1	NG_067204.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_159162532.1	NG_067978.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_132038428.1	NG_067979.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_176673601.1	NG_070226.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_086262823.1	NG_071183.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_002058891.1	NG_071184.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_031981814.1	NG_071185.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_136512061.1	NG_064717.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_001211207.1	NG_071186.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_001211198.1	NG_071187.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_047481394.1	NG_071188.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_001211199.1	NG_071189.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_032017586.1	NG_071190.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_032005249.1	NG_071191.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_031976577.1	NG_071192.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_032058755.1	NG_071193.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_021511005.1	NG_071194.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_001211200.1	NG_071195.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
ABK34773.1	EF016355.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
WP_086329657.1	NG_071196.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_086443396.1	NG_071197.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_086399847.1	NG_071198.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_086394244.1	NG_071199.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_031996777.1	NG_071200.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
